Team,PS_Wins,PS_L,PS_Win_per,PS_PTS,PS_FGM,PS_FGA,PS_FG_per,PS_Three_PM,PS_BPM,RS_W,RS_L,RS_Win_per,RS_Bench_PTS,RS_Bench_FGM,RS_Bench_FGA,RS_Bench_FG_per,RS_Bench_3PM,RS_Bench_BPM,RS_FG,RS_FGA,RS_FG_per,RS_3P,RS_3PA,RS_3P_per,RS_2P,RS_2PA,RS_2P_per,RS_FT,RS_FTA,RS_FT_per,RS_ORB,RS_DRB,RS_TRB,RS_AST,RS_STL,RS_BLK,RS_TOV,RS_PF,RS_PTS,Age,RS_PW,RS_PL,RS_MOV,RS_SOS,RS_SRS,RS_ORtg,RS_DRtg,RS_NRtg,RS_Pace,RS_FTr,RS_3PAr,RS_TS_per,RS_Off_eFG_per,RS_Off_TOV_per,RS_Off_ORB_per,RS_Off_FT_per_FGA,RS_Def_eFG_per,RS_Def_TOV_per,RS_Def_DRB_per,RS_Def_FT_per_FGA,
Orlando Magic,0,2,0,100.5,34.5,81,42.6,10.5,-6,47,35,0.573,41.5,15.1,31.2,48.4,4.6,1.2,40.5,84.9,0.476,11,31.3,0.352,29.5,53.6,0.549,18.5,24.4,0.759,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,24,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,
Philadelphia 76ers,1,2,0.333,113,41,89,46.1,14.3,-1.7,47,35,0.573,31.2,11.6,25.4,45.6,3.6,1.2,41.5,89.4,0.464,12.1,33.3,0.363,29.4,56.1,0.525,19.5,23.6,0.826,11,31.9,43,24.9,8.5,6,12,20.3,114.6,28.4,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,
Phoenix Suns,3,1,0.75,108,39.5,90.8,43.5,16.5,-0.5,49,33,0.598,26.6,9.9,21.6,45.8,3.1,-0.5,42.5,86.1,0.493,12.4,32.6,0.382,30,53.6,0.561,18.9,23.4,0.808,10.1,33.9,44.1,27,7.4,6,14.9,18,116.2,29.3,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,
Portland Trail Blazers,1,1,0.5,102,35.5,84.5,42,12,9,21,61,0.256,32.4,11.9,28.2,42.2,3.7,-1.9,39.4,89.7,0.439,11.5,33.2,0.345,27.9,56.5,0.494,16.2,20.5,0.791,12.6,30.1,42.7,23.1,7.6,4.3,15.2,20.2,106.4,24.1,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,
Sacramento Kings,0,3,0,101,39,88.7,44,8.3,-11,46,36,0.561,35.7,13.1,29,45.2,5.2,0.7,43.3,90.9,0.477,14.4,39.3,0.366,29,51.7,0.561,15.5,20.9,0.745,10.8,33.2,44,28.3,7.6,4.2,13.1,19.9,116.6,26.4,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,
San Antonio Spurs,2,1,0.667,113.3,41.3,87.7,47.1,14.7,3.7,22,60,0.268,39.7,14.8,32.6,45.3,5,-3.3,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1,23,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,
Toronto Raptors,1,2,0.333,110.3,42.3,92.7,45.7,10.7,1.7,25,57,0.305,32.9,12.1,27.6,44,4,-3.1,42.3,89.7,0.471,11.5,33.1,0.347,30.8,56.6,0.543,16.3,21.6,0.756,10.9,31.8,42.7,28.5,7.7,4.7,14,18.4,112.4,25.9,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,
Utah Jazz,3,1,0.75,116.3,39.5,82.8,47.7,13.5,9.3,31,51,0.378,43.5,15.9,34.5,46.2,4.6,-1.8,42,89.9,0.467,12.9,36.5,0.354,29.1,53.4,0.544,18.8,22.6,0.83,12.2,33.2,45.5,27.2,6.5,5.6,15.7,18.6,115.7,25.1,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,
Washington Wizards,1,2,0.333,101.7,34.3,79.7,43.1,13.3,-10.7,15,67,0.183,39.4,14.4,31.5,45.6,4.9,-3,43,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14,20,113.7,24.9,20,62,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
